fold	dropped	reversal_pearson	reversal_spearman	n
ALL	none	0.1605626914415677	0.099972461941934	10832
drop_2518-004	2518-004	0.155009035829889	0.0928597912653135	10832
drop_2518-008	2518-008	0.1582537713718405	0.0981004431666002	10832
drop_2518-011	2518-011	0.162850971242465	0.099960620418173	10832
drop_2518-014	2518-014	0.1600175377184627	0.0984262754830446	10832
drop_2518-017	2518-017	0.1538089702492528	0.0943161266817066	10832
drop_2519-001	2519-001	0.1604419625409839	0.1004540665813076	10832
drop_2519-005	2519-005	0.1561242090183494	0.0985392167641902	10832
drop_2519-007	2519-007	0.1670583216538427	0.10566787878247	10832
drop_2519-008	2519-008	0.1557382785198335	0.096620705757096	10832
drop_JHM4200	JHM4200	0.1555266923035764	0.1005621692974328	10832
drop_SMT4500	SMT4500	0.1655730496074121	0.1035200359115266	10832
