track	reversal	range_low	range_high	source_artifact
primary raw-count vector	0.1606			primary_comparison.tsv:RICTOR:primary_reversal
adjusted-vector sensitivity	0.146713			rictor_server_scale_sensitivities.tsv:adjusted-vector sensitivity; same-cohort Level-3 sensitivity, not independent validation; narrative anchor, not recomputed at Level 1
RICTOR guide 1	0.141			primary_comparison.tsv:RICTOR:guide_1_reversal
RICTOR guide 2	0.1781			primary_comparison.tsv:RICTOR:guide_2_reversal
disease-donor LODO (11)	0.159128	0.153809	0.167058	rictor_lodo.tsv:11_folds(mean;min;max)
responder-only mean	0.054211			rictor_server_scale_sensitivities.tsv:responder-only mean; same-cohort Level-3 sensitivity, not independent validation; narrative anchor, not recomputed at Level 1
condition: Rest	0.1532			primary_comparison.tsv:RICTOR:condition_rest
condition: Stim8hr	0.0916			primary_comparison.tsv:RICTOR:condition_stim8
condition: Stim48hr	0.0422			primary_comparison.tsv:RICTOR:condition_stim48
confound-removed (cc+act+broad)	0.096701			confound_decomposition.tsv:cellcycle+activation+broaddown
matched-null substrate	0.1314			primary_comparison.tsv:RICTOR:matched_substrate_reversal
