claim_id	claim	value	sign_convention	source_artifact	source_field	status	notes
A1	RICTOR is a real candidate in the Screen 8 direct disease-rescue analysis	present	-	table_screen8A_all_candidates.csv	gene=RICTOR (ENSG00000164327)	VERIFIED	de novo screen candidate; not literature, not manual, not post-hoc
A2	RICTOR competitive specificity-t (driving program Th1_IFNG, Stim48hr)	2.205	higher=more specific suppression vs own background	table_screen8A_all_candidates.csv / rictor_ablation_robustness.csv	spec_t / C_robustz_competitive_PRIMARY	VERIFIED	clears spec_t>2 gate; ~66th pct; below PAK2 (4.745)
A3	RICTOR disease-reversal projection mean (RA/IBD/Pso/SLE)	0.673	0..1, higher=more reversal	table_screen8B_disease_projection_all.csv	disease_reversal_mean	VERIFIED	broadest reversal in panel; > MALT1 (0.544)
A4	RICTOR rank in Screen 8 candidate table (above MALT1)	307 of 920 (MALT1 563)	lower rank=better	table_screen8A_all_candidates.csv	rank	VERIFIED	RICTOR ranks above MALT1 on rank, spec_t and disease-reversal
A5	RICTOR prior class = none (NOT from effect-blind prior / literature)	none	-	table_screen8A_all_candidates.csv	prior_class=none, surprise_score 1.605	VERIFIED	RIPK1 prior_class=canonical_activator; RICTOR/PAK2/MALT1=none
A6	RICTOR passes Screen-8A hard data gates (identity/tone/hub/donor/ontarget/direction)	True	-	table_screen8A_all_candidates.csv	passes_hard_filters=True	VERIFIED	
A7	RICTOR preserves T-cell identity	identity_loss 0.052	lower=better	rictor_8d_hardening.csv / table_screen8A_all_candidates.csv	identity_preserved=True; identity_min_stim -0.052	VERIFIED	
A8	RICTOR Treg-favourable profile	LOW/FAVOURABLE	external-literature label	rictor_8d_hardening.csv	treg_liability_EXTERNAL	PARTIALLY_VERIFIED	EXTERNAL-literature (mTORC2/Rictor loss favours Foxp3+ Treg), not measured in-screen
A9	RICTOR: no global collapse / growth arrest	frac_global_down 0.044; toxicity_flag False	-	rictor_8d_hardening.csv	frac_global_down_stim / toxicity_flag	VERIFIED	focal/program-selective, not a proliferation/activation collapse
A10	RICTOR Screen-8D hardening final call	PARK (druggability); data_gates_pass True	-	rictor_8d_hardening.csv	screen8D_final_call / data_gates_pass	VERIFIED	parked for no clinical-precedence druggability; DATA gates pass
A11	RICTOR nominated as a Screen 8 PRIMARY LEAD (with PAK2), beats MALT1 fallback	PRIMARY LEAD / FULLY HARDENED	-	screen8_project_summary.md	'RICTOR | PRIMARY LEAD ... FULLY HARDENED (indep server recompute)' ; bottom-line nominates PAK2+RICTOR	VERIFIED	DISCREPANCY: rictor_8d_hardening.csv=PARK and an intermediate verdict_screen8.md omits RICTOR from final roles; the authoritative project summary elevates RICTOR to lead WITH a modality-gap caveat
P1	(prompt) RICTOR pathogenic-program suppression = -0.350	-0.350	-	(none found)	-	CONTRADICTED	No such value in any Screen 8 artifact. Real suppression metrics: spec_t 2.205; disease_reversal_mean 0.673; per-donor program mean log2FC ~ -0.26 (Th1_IFNG@Stim48hr). Do NOT use -0.350 publicly.
P2	(prompt) RICTOR FDR = 0.005	0.005	-	rictor_statistical_verdict.md	disease-reversal specificity p (Psoriasis)	CONTRADICTED	0.005 is RICTOR's Psoriasis disease-reversal specificity p-value, NOT an FDR on a -0.350 suppression. Mislabeled in the prompt.
P3	(prompt) MALT1 pathogenic suppression = -0.202	-0.202	-	(none found)	-	CONTRADICTED	No such value. Real MALT1: spec_t 1.389; disease_reversal_mean 0.544.
P4	(prompt) MALT1 FDR = 0.019	0.019	-	rictor_statistical_verdict.md	disease-reversal specificity p (RA)	CONTRADICTED	0.019 is RICTOR's RA disease-reversal specificity p-value, NOT MALT1's FDR. Mislabeled in the prompt.
B1	RICTOR initially candidate-scored / not yet independently validated	candidate-scored	-	table_screen8A_all_candidates.csv; rictor_8d_hardening.csv	-	VERIFIED	8A candidate + 8D data gates pass; full independent donor/guide/ablation was the later server recompute
B2	Screen 8 = the direct disease-rescue analysis; earlier passes (Screens 4-6/Projects A-D) nominated nothing	-	-	screen8_project_summary.md	'earlier work produced no target nomination ... Screen 8 added [the competitive-specificity spine]'	VERIFIED	924->208->21->0 is the screen-wide general funnel; Screen 8 is the direct-rescue branch on the SAME genome-scale substrate. '0' = 0 candidates passing translational readiness (advanceable drug), not 0 biologically-supported hypotheses
C1	Independent server recompute from by_donors.h5mu + by_guide.h5mu	extract_rictor_donor_guide.py (server-side)	-	src/screen8/extract_rictor_donor_guide.py (server-side)	opens GWCD4i.DE_stats.by_donors.h5mu (6 disjoint 2-donor modalities) + by_guide.h5mu	VERIFIED	raw H5MU NOT redistributed
C2	Driving condition	Th1_IFNG / Stim48hr	-	rictor_donorpair_validation.csv; rictor_8d_hardening.csv	condition=Stim48hr, program=Th1_IFNG	VERIFIED	
C3	Donor support 6/6 at the driving Stim48hr	6/6 positive, min comp_t 1.586	comp_t>0 = program suppressed vs background	rictor_donorpair_validation.csv	6 donor pairs, Th1_IFNG, Stim48hr	VERIFIED	late-specific: 3/6 at Stim8hr, 5/6 at Rest
C4	Both guides suppress the program	g1 1.45 / g2 2.74 (driving)	comp_t>0	rictor_guide_validation.csv; rictor_statistical_verdict.md	by_guide guide_1/guide_2	VERIFIED	both guides suppress all 3 conditions
C5	Survives all six ablation methods	scores 0.176-2.205; pctiles 0.757-0.924	higher=better	rictor_ablation_robustness.csv	A_raw..F_primary_nonhub_only	VERIFIED	6/6 ablation methods positive
C6	Disease-reversal specificity vs matched-random	Pso 0.005, RA 0.019, IBD 0.047 (SLE 0.096 borderline)	p-value, lower=more specific	rictor_statistical_verdict.md	specific disease reversal row	VERIFIED	survives generic stripping (0.67-0.77)
C7	Covariate-matched null	p~0.045-0.056; only 12% of 200 splits <0.05	p-value	rictor_statistical_verdict.md; matched_null.tsv (public)	cross-fit residual	VERIFIED	BORDERLINE / FRAGILE - not stably significant after covariate adjustment (honest caveat, preserved)
C8	Weaker than PAK2 on specificity/ablation	spec_t 2.21 vs 4.75; ablation rank 86 vs 7	-	screen8_project_summary.md	head-to-head	VERIFIED	
D1	Internal disease reversal on corrected raw-count JIA activated-memory vector	+0.161	reversal = -centered Pearson(KD, disease); >0 opposes disease	results/frozen/primary_comparison.tsv (public); rictor_rescue (private)	primary_reversal	VERIFIED	DIFFERENT metric/analysis from the Screen 8 disease_reversal_mean 0.673
D2	Guide/donor/condition/confound/matched-null robustness	both guides +; 11/11 disease-donor LODO +; matched pctile 96.5 (borderline)	-	results/frozen/rictor_*.tsv, matched_null.tsv (public)	-	VERIFIED	
D3	External same-disease concordance (GSE160097)	+0.165; 6 pairs; 6/6 paired LODO; bootstrap [+0.113,+0.191]	reversal = -centered Pearson	results/external_validation/gse160097/ (public)	-	VERIFIED	no detected donor overlap; not perturbation/therapeutic replication
E1	Human-genetic efficacy	NO_SUPPORT	-	results/translational/ (public)	RICTOR_HUMAN_GENETICS.tsv	VERIFIED	
E2	Selective modality	NONE_VALIDATED (mTOR-pathway only)	-	results/translational/ (public); rictor_8d_hardening.csv	RICTOR_MODALITY_TABLE.tsv	VERIFIED	
E3	Retraction findings (JR-AB2-011)	retracted / not clean	-	results/translational/ (public); rictor_statistical_verdict.md	RICTOR_PRIOR_ART_TABLE.tsv	VERIFIED	
E4	Systemic safety / cell-type conflict	CELL_TYPE_CONFLICT / SAFETY_HEADWIND	-	results/translational/ (public)	RICTOR_SAFETY_LANDSCAPE.tsv	VERIFIED	
E5	Final translational status	NOT_ADVANCEABLE_WITH_CURRENT_EVIDENCE_AND_MODALITIES	-	results/translational/RICTOR_TRANSLATIONAL_VERDICT.md (public)	-	VERIFIED	
